,speaker_label,Transcript
0,CALLER, Hello.
1,CALLEE, Hello.
2,CALLER, Welcome.
3,CALLEE, Hi.
4,CALLER, So this is Akshay. I am calling from Awarajee.  Hello.  You have made a query on Facebook regarding travel booking to monthly reach.
5,CALLEE, Yeah.
6,CALLER, Yeah.  Can I know the details like for which date has it looked?  For which date are you looking for it?
7,CALLEE, I am looking for a week forward from now.  For my friends and me.
8,CALLER, How many people sorry?
9,CALLEE, Total 5 including me.
10,CALLER, Okay. And can you confirm the date?
11,CALLEE, It will be one week from now.
12,CALLER, So today is 16. 16 plus 7 that is 23 around like 23 24 right?
13,CALLEE, Yeah around 24.  Yeah.
14,CALLER, 24. Okay.
15,CALLEE, Thank you.
16,CALLER, Thank you.
17,CALLEE, For 4 days and 5 nights.
18,CALLER, Okay for 4 days.  That is 5 days and 4 nights right?
19,CALLEE, Yeah.
20,CALLER, This is how it works.  Okay. So can I know your preferences like what kind of rooms are you looking for? Is it like you are looking for hotels or?  Blacklocker hostels or kind of a regard?
21,CALLEE, I think I will choose a resort.  It is better for me.
22,CALLER, Resort with people.
23,CALLEE, No.  It is already very cold here.
24,CALLER, Sorry.
25,CALLEE, It is already very cold here.  So it is already very cold. Okay. Okay.  I will just.
26,CALLER," Okay, so we have two resorts near Newman Island.  Yeah, I will send you the details over WhatsApp. Will it work for you?"
27,CALLEE, Yeah sure.
28,CALLER, Okay.  Anything else you want to ask?  Except the rooms. Like do you also looking for?  Transportation from Delhi. We provide transportation from Delhi to Manali.
29,CALLEE," No, I am taking my own call."
30,CALLER, You are taking your own car. Okay.
31,CALLEE, Okay.
32,CALLER, Thank you.  Thank you.  And do you want to include any activities?
33,CALLEE, I just have preference for my hotel or resort anything. If it can be near.  At Imbadhiva Temple.
34,CALLER, Thank you.
35,CALLEE, Thank you.
36,CALLER, Can be near having. Okay. Noted.  And what about the activities? Are you looking for any activities in Manali?
37,CALLEE," Not so much. We are there for only some fun.  You know, the boys fun."
38,CALLER," Okay. Got it.  Okay, so we will send you the details over WhatsApp. Please have a look and let us know what suits best for you.  Sure. Thank you. Okay. Thank you."
